code,name,market
600295,鄂尔多斯,A股
601869,长飞光纤,A股
688766,普冉股份,A股
301536,星宸科技,A股
601231,环旭电子,A股
300857,协创数据,A股
300285,国瓷材料,A股
000725,京东方A,A股
002463,沪电股份,A股
600183,生益科技,A股
603459,红板科技,A股
600487,亨通光电,A股
600522,中天科技,A股
601138,工业富联,A股
688372,伟测科技,A股
688123,聚辰股份,A股
002185,华天科技,A股
688385,复旦微电,A股
600460,士兰微,A股
002081,金螳螂,A股
301338,凯格精机,A股
600707,彩虹股份,A股
301421,波长光电,A股
300012,华测检测,A股
002432,九安医疗,A股
600699,均胜电子,A股
603345,安井食品,A股
600350,山东高速,A股
001286,陕西能源,A股
600089,特变电工,A股
600989,宝丰能源,A股
600309,万华化学,A股
000828,东莞控股,A股
600887,伊利股份,A股
002714,牧原股份,A股
600578,京能电力,A股
601088,中国神华,A股
000807,云铝股份,A股
000933,神火股份,A股
600595,中孚实业,A股
600188,兖矿能源,A股
601699,潞安环能,A股
000983,山西焦煤,A股
600256,广汇能源,A股
600900,长江电力,A股
002039,黔源电力,A股
600236,桂冠电力,A股
600886,国投电力,A股
600690,海尔智家,A股
002142,宁波银行,A股
600919,江苏银行,A股
601838,成都银行,A股
600036,招商银行,A股
601318,中国平安,A股
601225,陕西煤业,A股
601898,中煤能源,A股
601899,紫金矿业,A股
603979,金诚信,A股
600362,江西铜业,A股
603993,洛阳钼业,A股
000333,美的集团,A股
000651,格力电器,A股
601919,中远海控,A股
600938,中国海油,A股
002648,卫星化学,A股
000408,藏格矿业,A股
601857,中国石油,A股
601991,大唐发电,A股
000600,建投能源,A股
603885,吉祥航空,A股
601021,春秋航空,A股
600031,三一重工,A股
600415,小商品城,A股
002053,云南能投,A股
000429,粤高速A,A股
600795,国电电力,A股
002032,苏泊尔,A股
600132,重庆啤酒,A股
600406,国电南瑞,A股
601628,中国人寿,A股
002602,世纪华通,A股
002202,金风科技,A股
000338,潍柴动力,A股
601872,招商轮船,A股
003816,中国广核,A股
601985,中国核电,A股
600025,华能水电,A股
000830,鲁西化工,A股
600096,云天化,A股
601199,江南水务,A股
600276,恒瑞医药,A股
600546,山煤国际,A股
601001,晋控煤业,A股
